Shape Area,Quality Flags,GeoUID,Type,Households,CD_UID,Dwellings,Population,name,CSD_UID,CT_UID,CMA_UID,Region Name,Area (sq km),Population (n),Total private dwellings (n),Population density per square kilometre,Median Value of Dwellings ($),Median monthly shelter costs for owned dwellings ($),Median monthly shelter costs for rented dwellings ($),Occupied private dwellings (n),Single-detached house,Semi-detached house,Row house,Apartment or flat in a duplex,Apartment with <5 stories,Apartment with 5 or more stories,Other single attached house,No Bedrooms,1 Bedroom,2 Bedrooms,3 Bedrooms,4 or more bedrooms,Dwelling Density
0.0377,"0","35204508",DA,"301","3520","333","537","35204508","3520005","5350124.00","35535","35204508",0.0377,537,333,14244,3200000,4760,2060,305,5,0,0,0,5,295,0,0,160,130,10,0,8832.89124668435
0.185,"0","35204509",DA,"238","3520","251","512","35204509","3520005","5350124.00","35535","35204509",0.185,512,251,2767.6,1800000,2600,2020,240,40,40,90,0,35,25,0,0,30,60,80,50,1356.75675675676
0.0657,"0","35204510",DA,"287","3520","316","568","35204510","3520005","5350124.00","35535","35204510",0.0657,568,316,8645.4,1500000,1760,2560,290,45,20,40,5,80,100,0,0,90,105,45,35,4809.74124809741
0.2436,"0","35204511",DA,"221","3520","234","613","35204511","3520005","5350167.02","35535","35204511",0.2436,613,234,2516.4,1800000,2460,2180,225,190,0,0,10,20,0,0,0,0,60,70,85,960.591133004926
0.0209,"0","35204532",DA,"254","3520","291","442","35204532","3520005","5350165.00","35535","35204532",0.0209,442,291,21148.3,,,840,255,10,5,0,5,100,135,0,40,125,55,40,0,13923.4449760766
0.0321,"0","35204533",DA,"600","3520","721","1172","35204533","3520005","5350167.02","35535","35204533",0.0321,1172,721,36510.9,,,1300,600,0,5,0,0,130,460,0,35,340,205,0,0,22461.0591900312
0.0331,"0","35204534",DA,"219","3520","247","413","35204534","3520005","5350165.00","35535","35204534",0.0331,413,247,12477.3,1100000,1590,1460,220,25,25,0,15,150,0,0,10,105,60,60,15,7462.23564954683
0.0446,"0","35204535",DA,"899","3520","1018","1544","35204535","3520005","5350167.02","35535","35204535",0.0446,1544,1018,34618.8,750000,2140,1350,900,5,0,0,0,390,500,0,85,655,150,10,0,22825.1121076233
0.0277,"0","35204536",DA,"426","3520","489","806","35204536","3520005","5350167.02","35535","35204536",0.0277,806,489,29097.5,,,1420,430,0,0,0,0,225,195,0,10,310,95,0,0,17653.4296028881
0.1187,"0","35204540",DA,"258","3520","288","570","35204540","3520005","5350167.02","35535","35204540",0.1187,570,288,4802,2900000,1700,1480,260,70,10,0,10,110,55,0,10,100,65,30,50,2426.2847514743
0.0845,"0","35204543",DA,"952","3520","1099","1384","35204543","3520005","5350167.01","35535","35204543",0.0845,1384,1099,16378.7,,,1450,955,0,0,0,0,190,760,0,40,705,200,10,0,13005.9171597633
0.0271,"0","35204544",DA,"361","3520","383","578","35204544","3520005","5350167.01","35535","35204544",0.0271,578,383,21328.4,1200000,2080,1900,360,0,0,0,0,45,315,0,0,80,240,55,0,14132.8413284133
0.0225,"0","35204545",DA,"227","3520","258","484","35204545","3520005","5350167.01","35535","35204545",0.0225,484,258,21511.1,1000000,3840,1530,230,0,0,0,0,0,230,0,0,95,90,30,0,11466.6666666667
0.0527,"0","35204556",DA,"249","3520","262","518","35204556","3520005","5350070.00","35535","35204556",0.0527,518,262,9829.2,1800000,1640,940,250,60,60,0,15,55,65,0,0,110,35,45,60,4971.53700189753
0.0519,"0","35204557",DA,"169","3520","179","435","35204557","3520005","5350070.00","35535","35204557",0.0519,435,179,8381.5,1700000,1620,1450,170,55,70,0,15,30,0,0,0,15,25,30,85,3448.94026974952
0.0183,"0","35204558",DA,"552","3520","579","767","35204558","3520005","5350070.00","35535","35204558",0.0183,767,579,41912.6,,,1500,555,0,0,0,0,0,555,0,20,410,120,0,0,31639.3442622951
0.2001,"0","35204559",DA,"233","3520","253","448","35204559","3520005","5350070.00","35535","35204559",0.2001,448,253,2238.9,1800000,1050,1400,235,20,20,0,5,115,65,0,15,85,60,35,20,1264.36781609195
0.0658,"0","35204560",DA,"196","3520","202","536","35204560","3520005","5350070.00","35535","35204560",0.0658,536,202,8145.9,1800000,1720,2960,195,30,95,0,10,60,0,0,0,10,30,85,75,3069.90881458967
0.0493,"0","35204562",DA,"286","3520","334","495","35204562","3520005","5350065.01","35535","35204562",0.0493,495,334,10040.6,,,1220,285,0,0,0,5,40,240,0,50,105,125,10,10,6774.84787018256
0.0369,"0","35204563",DA,"742","3520","858","1478","35204563","3520005","5350065.02","35535","35204563",0.0369,1478,858,40054.2,,,1320,745,0,0,0,0,0,745,0,20,430,290,0,0,23252.0325203252
0.0352,"0","35204564",DA,"1324","3520","1451","2805","35204564","3520005","5350065.02","35535","35204564",0.0352,2805,1451,79687.5,428000,,1030,1325,0,0,0,0,15,1310,0,55,610,470,185,10,41221.5909090909
0.0226,"0","35204565",DA,"902","3520","1230","1711","35204565","3520005","5350065.01","35535","35204565",0.0226,1711,1230,75708,,,1500,900,0,0,0,0,20,880,0,60,490,205,95,15,54424.7787610619
0.0142,"0","35204566",DA,"277","3520","308","444","35204566","3520005","5350065.01","35535","35204566",0.0142,444,308,31267.6,,,1500,275,0,0,5,0,5,270,0,30,115,115,0,0,21690.1408450704
